Session ID,Purchase.Intention,Household.income,Age ,Adults.household,Chidren.household,LFC,NB,LP,CF,Flavors,why.purchase,why.dont.purchase
225452160,3,"$100,001 - $150,000",50.5,2,1,3,1,0,2,"chocolate and mixed up kinds,","it looked good, and i love wegman's products.",
225452171,4,Prefer not to say,50.5,2,0,2,2,0,2,"vanilla, chocolate, butter pecan",,Most times we buy Breyer's and mostly at Giant
225452174,,"$50,000 - $75,000",50.5,2,0,0,0,0,0,,,
225452177,4,Prefer not to say,60.5,1,0,0,2,1,3,lemon; rocky road; moose tracks; egg nog,,Haven't tasted it
225452184,,"$100,001 - $150,000",50.5,5,2,0,3,2,1,,,
225452188,,Prefer not to say,40.5,2,1,0,1,2,3,,,
225452197,,Prefer not to say,60.5,2,0,0,1,2,3,,,
225452198,,"$150,001 - $200,000",40.5,2,2,1,0,2,3,,,
225452202,,Prefer not to say,30.5,2,0,1,0,2,3,,,
225452211,4,Prefer not to say,60.5,3,0,0,1,3,2,"Chocolate, chocolate peanut butter, chocolate marshmallow, something like moose tracks",Liked the flavor and had lower fat,
225452217,4,"$50,000 - $75,000",50.5,1,0,1,0,3,2,vanilla chocolate ,probably on sale,
225452222,,"$75,001 -  $100,000",50.5,4,0,0,2,1,3,,,
225452223,4,Prefer not to say,60.5,2,0,0,3,1,2,Vanilla ... I'm a purist!,,No particular reason ... but I will try it on my next visit!!
225452232,,"$75,001 -  $100,000",50.5,1,0,3,0,1,2,,,
225452237,,"$150,001 - $200,000",40.5,2,2,0,2,1,3,,,
225452243,4,"$100,001 - $150,000",50.5,3,0,3,0,1,2,Any,Price,
225452248,3,Prefer not to say,50.5,1,0,3,0,1,2,vanilla bean,,Too risky to buy a large container to find out if you like it or not. Would be a good idea to give samples in the store
225452275,,"$50,000 - $75,000",50.5,2,0,1,2,0,3,,,
225452278,,"Under $50,000",60.5,2,0,0,2,1,3,,,
225452284,,"$100,001 - $150,000",30.5,3,1,0,0,0,0,,,
225452296,,"Over $200,000",60.5,3,0,0,2,1,3,,,
225452300,,"$50,000 - $75,000",50.5,2,0,0,2,1,3,,,
225452308,,Prefer not to say,50.5,2,1,0,0,0,0,,,
225452330,,Prefer not to say,50.5,2,2,0,3,1,2,,,
225452341,3,"$75,001 -  $100,000",60.5,2,0,1,2,0,3,most any,TO TRY IT,
