Session ID,Purchase.Intention,Household.income,Age ,Adults.household,Chidren.household,LFC,NB,LP,CF,Flavors,why.purchase,why.dont.purchase
225488286,,"$100,001 - $150,000",50.5,1,0,0,1,2,3,,,
225488288,,Prefer not to say,50.5,2,0,0,0,0,0,,,
225488307,,"$50,000 - $75,000",80.5,1,0,0,2,2,2,,,
225488315,4,"Over $200,000",60.5,2,0,0,1,2,3,"chocolate, peach, anything with nuts and/or chocolate",sale price,
225488322,3,"$150,001 - $200,000",60.5,2,0,2,1,0,3,"french vanilla, coffee, rich choclate, mocha with chips, peach, strawberry",,haven'r had the opportunity to taste it and do not want to invest in a product I may not like without first sampling
225488325,3,"$50,000 - $75,000",30.5,2,1,3,0,1,2,"vanilla, creme brulee",,have not tried it yet- didn't notice it.
225488374,2,Prefer not to say,50.5,2,0,2,0,1,3,,,"I do my main shopping closer to home and my Whole Foods Market carries Gifford's Swiss Chocolate, my childhood favorite."
225488395,4,"$50,000 - $75,000",30.5,2,1,1,0,3,2,"Vanilla, Chocolate Marshmallow, Chocolate Chip, Peanut Butter Cup (the kind with chocolate ice cream and peanut butter rippled through), cookie dough.",Low price.,
225488447,3,Prefer not to say,30.5,2,0,0,1,2,3,"vanilla, chocolate, mint chip, cookie dough, something with peanutbutter cups and fudge",,Really liked other brands so decided to try their low fat versions
225488459,1,Prefer not to say,60.5,2,0,0,3,1,2,,,buy frozen yogurt at Turkey Hill store
225488477,3,"$50,000 - $75,000",30.5,2,0,1,0,2,3,"vanilla, chocolate, strawberry, peanut butter",,Like Turkey Hill better.
225488479,3,"Over $200,000",50.5,2,2,3,1,0,2,"MOCHA CHIP, PEANUTBUTTER AND FUDGE, COOKIE DOUGH, PEACH, STRAWBERRY, CHOCOLARE, VANILLA",,MAYBE I'LL TRY IT
225488501,,"Over $200,000",50.5,4,1,1,2,0,3,,,
225488502,3,"$50,000 - $75,000",60.5,2,0,1,2,2,1,"Rum Raisin, Cherry Moose Tracks, Vanilla Fudge with Cherries.",,I will usually buy a national brand that is on sale because when it's on sale it is generally cheaper than Wows brand.
225488514,,Prefer not to say,40.5,2,2,0,1,2,3,,,
225488516,,"$150,001 - $200,000",50.5,4,0,0,3,1,2,,,
225488517,,"Under $50,000",50.5,2,0,2,0,1,3,,,
225488539,4,"Under $50,000",50.5,3,0,0,1,3,2,"Tin Roof, Panda Paws, Chocolate chip, French Vanilla, cherry, peanut butter cup, anything with candy pieces and nuts",,"I would rather have regular ice cream because of the flavor and dont buy ice cream that often, so when I do, I get the ""good stuff"""
225488574,3,"$75,001 -  $100,000",30.5,2,3,2,0,3,1,"chocolate, strawberry",lower price,
225488588,4,"$50,000 - $75,000",30.5,2,0,1,0,3,2,"Cookies and Cream, Chocolate Chip Cookie Dough, Mint Cookies and Cream",Looked good and would be slightly healthier.,
225488594,,"Under $50,000",60.5,2,0,1,0,2,3,,,
225488653,4,Prefer not to say,50.5,2,0,3,0,1,2,"vanilla, cherry vanilla",to try it out,
225488676,,"$50,000 - $75,000",30.5,3,1,0,1,3,2,,,
225488690,4,"$75,001 -  $100,000",60.5,1,0,1,0,2,3,anything with nuts!!!,taste,
225488694,4,Prefer not to say,70.5,2,0,3,0,2,1,I buy all the flavoars offered now and would also purchace any other flavors offered if the calorie and fat count were low.,The dietary ingredients listed on the carton sound the best for our health.,
225488696,4,"$50,000 - $75,000",60.5,2,0,2,0,3,1,"Anything with pecans, carmel or fudge in them..Also peanut butter swirl...",Price,
225488697,3,"$50,000 - $75,000",80.5,2,0,1,2,0,3,"vanilla, chocolate ",,I seldom eat ice cream so feel I can eat regular ice cream.  
225488717,3,"$100,001 - $150,000",60.5,2,0,2,0,1,3,"vanilla, vanilla fudge, neopolitan",low fat and price,
225488722,2,Prefer not to say,30.5,2,0,1,3,2,0,,,"I usually purchase ice cream on my regular shopping trips, which I don't do at Wows."
225488734,2,"$100,001 - $150,000",50.5,3,2,1,2,0,3,,,tend to stick to national brands
225488778,,"$75,001 -  $100,000",30.5,2,2,0,1,2,3,,,
225488789,3,"Over $200,000",40.5,2,2,3,0,2,1,"Cookie Dough, Butter Pecan, Chocolate, Vanilla","Good price, good flavor and new the quality would be good.",
225488793,,"$50,000 - $75,000",40.5,2,2,1,2,0,3,,,
225488818,3,"$50,000 - $75,000",60.5,1,0,3,0,2,1,"Vanilla, Chocolate Chip, Mint Chocolate Chip, Peanut Butter",,Its the sugar content that important to me.
225488825,3,"$100,001 - $150,000",60.5,2,0,3,0,2,1,"Heavenly hash, chocolate almond, chocolate chip",April,
225488831,,"Under $50,000",60.5,1,0,0,3,1,2,,,
225488834,,"Under $50,000",60.5,3,0,0,3,1,2,,,
225488843,3,"$75,001 -  $100,000",40.5,1,0,3,1,0,2,I would like Wegman's to carry frozen yogurt comparable to Edy's,,"I prefer Edy's yogurt blends over everything else, especailly the coffee chip"
225488849,,"$75,001 -  $100,000",40.5,2,1,0,3,1,2,,,
225488868,,"Under $50,000",70.5,3,0,0,3,1,2,,,
225488885,4,"$75,001 -  $100,000",30.5,2,2,0,3,2,1,"vanilla bean, fudge ripple, mint chocolate chip, neopalotian, ",liked the flavor,
225488895,,"$150,001 - $200,000",50.5,2,0,0,2,1,3,,,
225488906,3,"$75,001 -  $100,000",30.5,2,1,3,0,1,2,"Moose tracks, vanilla bean, toasted coconut",,Haven't found a unique flavor in low fat that would prompt me to try it.
225488921,3,Prefer not to say,50.5,3,1,3,1,0,2,"Mint Chocolate Chip, Butter Pecan, Almond Mocha, Vanilla and Chocolate of course and something like Cherry Garcia by Ben & Jerry's.",,"I don't want to spend the money on something that we might not like, all the ice creams I've purchased have been tried at someone's home."
225488929,2,"$150,001 - $200,000",40.5,4,2,2,3,1,0,,,want to stick with a tried and true brand
225488952,1,"$100,001 - $150,000",60.5,4,1,3,1,2,0,,because it was on sale,
225488962,4,"$100,001 - $150,000",40.5,2,0,3,0,2,1,"mint chocolate chip (my all time favorite); coffee (my husband's favorite), vanilla, raspberry fudge (like the one you have now), butter pecan",The flavors i selected appealed to me but I went first to that section for the cos savings.,
225488964,,"$50,000 - $75,000",50.5,5,4,0,3,2,1,,,
225488965,3,"$150,001 - $200,000",40.5,2,2,3,0,2,1,coffee,wanted to try it,
225488969,4,"$50,000 - $75,000",40.5,3,1,2,0,1,3,"creme brulee, butter crunch, something vanilla with caramel, vanilla with oreos,",to try a new variety,
225488977,,"$100,001 - $150,000",40.5,2,0,0,2,1,3,,,
225488978,4,"$50,000 - $75,000",40.5,1,2,1,0,2,3,"coffee, mint chocolate chip , raspberry ,peach rum rasin",,because I havent thought about it
225488993,,"$75,001 -  $100,000",50.5,4,2,0,2,2,2,,,
225488998,3,Prefer not to say,40.5,2,1,1,0,3,2,Chocolate,Price,
225489043,3,"Under $50,000",30.5,1,2,0,1,3,2,"vanilla, chocolate, coffee, butter pecan",,We do not have a Wegmans close to my house.
225489052,1,"$150,001 - $200,000",60.5,2,0,1,3,1,1,,,"store is too far from my house, I don't buy frozen foods at all at the Wegman's closest to my house (app 1-15 miles away)"
225489056,3,"$50,000 - $75,000",30.5,2,1,3,1,0,2,mint oreo,,Have not intentionally excluded it - just have not tried it yet
225489060,1,"Under $50,000",60.5,1,0,2,0,3,1,,Because it's low fat and the price is right also.,
225489129,,Prefer not to say,40.5,1,3,1,1,1,3,,,
225489137,3,"Under $50,000",50.5,2,0,2,1,0,3,"pistachio,butter pecan,choc.",,don't know
225489147,4,"Under $50,000",50.5,1,0,0,2,1,3,mint cho chip wit large chips,The cost was cheaper,
225489176,,Prefer not to say,70.5,1,0,0,3,1,2,,,
225489177,1,"$100,001 - $150,000",60.5,2,0,0,1,2,3,,,I rarely purchase low fat ice cream
225489182,2,"$75,001 -  $100,000",30.5,2,1,1,0,2,3,,,Too far from where I live. Only get to Wegman's maybe 1-2 times a year
225489183,3,"Over $200,000",60.5,2,0,2,1,0,3,vanilla bean,,Never noticed it.
225489194,,"$75,001 -  $100,000",50.5,1,0,0,2,1,3,,,
225489197,,"$100,001 - $150,000",40.5,2,0,0,3,1,2,,,
225489210,4,"$100,001 - $150,000",60.5,2,0,2,0,1,3,"Butter pecan , vanilla, cherry",Try it to see if it compares to others,
225489222,,"$50,000 - $75,000",50.5,2,0,0,3,1,2,,,
225489223,,Prefer not to say,40.5,2,2,0,1,2,3,,,
225489227,,"Under $50,000",30.5,1,0,0,2,2,2,,,
225489235,,"$50,000 - $75,000",60.5,2,0,0,0,0,0,,,
225489237,2,"$150,001 - $200,000",50.5,4,0,1,3,2,0,,,Wow's has not opened in my neighborhood.  We are scheduled to get our first Wow's on June 8.
225489254,2,Prefer not to say,60.5,3,0,2,0,2,2,,It was in a flavor I like,
225489266,3,"$50,000 - $75,000",40.5,2,0,0,1,2,3,Preferrably something different than what is offered by every other brand,,I prefer Ben & Berry's
225489267,,"$75,001 -  $100,000",40.5,2,0,0,1,3,2,,,
225489274,,Prefer not to say,30.5,2,4,0,3,2,1,,,
225489280,,"$75,001 -  $100,000",40.5,4,2,0,1,3,2,,,
225489293,1,Prefer not to say,70.5,2,0,3,0,2,1,,Price and flavors,
225489310,,"$50,000 - $75,000",20.5,2,1,0,0,0,0,,,
225489312,1,0,30.5,1,0,3,2,0,1,,,I DON'T SHOP AT WEGMAN'S
225489329,3,"$75,001 -  $100,000",50.5,2,1,3,0,1,2,"vanilla, moose tracks, cookies and cream.",,I haven't seen it in the store. 
225489334,1,Prefer not to say,60.5,1,0,2,0,3,1,,,"I live in Carlisle, PA ~ Too far to travel with ice cream without it melting!!"
225489340,1,Prefer not to say,60.5,2,0,2,2,0,2,,,Buy another brand
225489369,3,"Under $50,000",60.5,1,0,3,0,2,1,"vanilla, cherry-vanilla, chocolate chunk, peach, chocolate-mint",,don't remember seeing it in the pint selection.  Do  remember looking in vain for pints of frozen yogourt.
225489408,4,"$75,001 -  $100,000",40.5,1,0,3,0,2,1,"I prefer chocolate and variations of chocolate, as well as plain vanilla and vanilla bean.",,Didn't actually see it in the case.
225489437,4,"$150,001 - $200,000",70.5,3,1,3,0,1,2,"chocolate, coffee, peach",due to dietary restrictions,
225489456,,Prefer not to say,30.5,2,2,0,2,3,1,,,
225489466,3,"$50,000 - $75,000",60.5,2,0,3,0,1,2,"chocolate, strawberry, butter pecan and vanilla",Wegman's ice cream is always delicious and moderate in price.,
225489470,3,Prefer not to say,40.5,2,0,3,0,1,2,"cookie dough, vanilla w/ cherries and chocolate chunks, ",,By the time I would get home it would be very melty.  We live approx. 4 minutes away - and usually go several places while in that area. 
225489482,,Prefer not to say,60.5,2,0,1,0,3,2,,,
225489493,2,"$150,001 - $200,000",50.5,4,4,0,1,2,3,,,"One of the National brands is usually on sale every week.  I generally buy that one (Edy's, Turkey Hill, etc.)"
225489520,3,"$75,001 -  $100,000",40.5,2,2,2,2,0,2,"French Vanilla, Black Cherry, Praline Peacan, Chocolate",The price was great and the taste was good.,
225489523,4,Prefer not to say,70.5,2,0,3,1,0,2,raspberry and vanilla,lower price,
225489530,3,"Over $200,000",50.5,3,1,0,2,1,3,"vanilla, chocolate, butter pecan",,was not in the market at the time & saw Edy's when product was needed
225489531,3,"$100,001 - $150,000",40.5,2,4,2,1,3,0,"Chocolate, mint choc. chip, coffee, tin roof",Price,
225489536,,Prefer not to say,40.5,2,2,0,2,1,3,,,
225489545,3,"$150,001 - $200,000",50.5,2,0,2,1,2,1,"Chocolate, Vanilla, strawberry",,No specific reason.
225489546,,"$75,001 -  $100,000",60.5,1,0,0,2,1,3,,,
225489553,,"$75,001 -  $100,000",50.5,2,0,0,2,1,3,,,
225489579,3,"$100,001 - $150,000",50.5,3,1,3,0,2,1,"Neopolitan, anything with caramel","price, low fat, flavor",
225489603,,"$100,001 - $150,000",50.5,3,1,0,1,2,3,,,
225489634,4,"Under $50,000",70.5,2,0,3,1,2,0,"Vanilla, something with cheeries in it, something with walnuts or pecans in it.",price and taste,
225489677,3,"$100,001 - $150,000",40.5,2,0,3,1,2,0,"Mint Chocolate Chip, Chocolate Marshmallow, and Raspberry",,"No reason, I should try it.  I purchase a lot of Wegmans brand items.  They ROCK!"
225489684,,"Over $200,000",30.5,3,2,0,1,3,2,,,
225489696,,"$100,001 - $150,000",60.5,2,0,3,1,0,2,,,
225489710,,Prefer not to say,60.5,2,0,0,2,1,3,,,
225489711,,Prefer not to say,60.5,3,0,0,1,2,3,,,
225489716,,"$50,000 - $75,000",40.5,2,2,0,1,2,3,,,
225489724,2,"$50,000 - $75,000",60.5,2,0,0,2,1,3,,,"I purchase ice cream at a store closer to where I live.  I love Wow's, but it is a distance for me to get to."
225489728,3,"Under $50,000",40.5,1,1,1,0,3,2,"Chocolate, Mint Chocolate Chip, Neapolitan,",Diet,
225489743,3,Prefer not to say,60.5,2,0,3,0,1,2,"vanilla, chocolate",,I am pleased with both Eddy's and Turkey Hill.
225489751,3,"$75,001 -  $100,000",80.5,1,0,3,2,1,0,cherry chocalate neopolitan,,don't know
225489788,3,"$50,000 - $75,000",30.5,5,3,3,0,2,1,"I like a good french vanilla, coffee, maple walnut, and caramel.",I like other Wegmans products so I thought I would give your ice cream a try.,
225489810,,"$75,001 -  $100,000",30.5,2,0,0,0,0,0,,,
225489839,4,Prefer not to say,50.5,2,0,2,0,1,3,Turtle; rocky road; raspberry/vanilla; moose tracks; espresso chip,"Price, wanted to try it.",
225489852,4,"$75,001 -  $100,000",50.5,2,1,3,0,1,2,Butter pecan,,I will start. I know Wegmans makes the best of everything.
225489864,,"$75,001 -  $100,000",70.5,2,0,0,3,1,2,,,
225489870,2,"Under $50,000",40.5,3,1,2,1,3,0,,"good price, wanted to try it",
225489876,1,"$75,001 -  $100,000",50.5,3,1,1,0,2,3,,Enjoy the quality and flavor for the price.,
225489900,2,"$100,001 - $150,000",50.5,2,0,2,3,1,0,,,usually go with national brand.
225489914,3,"$75,001 -  $100,000",30.5,2,1,1,2,3,0,Peanut butter Chocolate ,,No reason
225489921,3,"$75,001 -  $100,000",40.5,2,3,0,3,2,1,,,
225489929,3,"$75,001 -  $100,000",40.5,1,2,3,0,2,1,"CHOCOLATE, raspberry swirl, french vanilla, ones with chunks of candy, cookies, fruit, brownies",Because it is delicious and cheaper than the national brand,
225489931,4,"Under $50,000",50.5,3,0,1,0,2,3,chocolate/ mint chocolate chip/ strawberry,cheaper than National brand and tends to have more flavor,
225489932,,Prefer not to say,50.5,4,0,0,1,2,3,,,
225489966,2,Prefer not to say,50.5,2,0,0,1,2,3,,,
225489972,3,"$75,001 -  $100,000",20.5,2,0,3,0,2,1,"I enjoy funky flavors. The peanut butter & jelly one by Wegman's is fun. Among others: Black Raspberry, Peanut Butter w/ Chocolate, Vanilla Heath Bar.",Figured it would be better for me while trying to lose weight but still enjoy dessert.,
225489974,,"$50,000 - $75,000",60.5,1,3,0,1,3,2,,,
225489984,2,"Under $50,000",70.5,2,0,1,2,0,3,,,Never tried it and I like the good taste of Turkey Hill. If Wegman's is that good I would buy it
225490005,3,Prefer not to say,40.5,2,2,3,0,2,1,"Chocolate chip, mint chocolate chip, vanilla, chocolate.","Lower price than national brands, plus it tastes good.  Just wish there would be more flavors.",
225490037,3,"Under $50,000",20.5,4,0,3,0,2,1,,,
225490040,2,Prefer not to say,50.5,2,0,3,0,2,1,,price,
225490062,,"Over $200,000",50.5,5,1,0,2,1,3,,,
225490064,4,"$75,001 -  $100,000",60.5,2,0,3,1,0,2,"Chocolate, berry flavors and ice creams with crunchies, nuts or chunks of fruit.",,I had heard that Edy's was creamier and had very good flavor so I haven't tried Wegman's Low Fat Ice Cream.
225490094,3,Prefer not to say,40.5,2,2,2,0,1,3,something with chocolate and chunks of something else!,flavor,
225490102,4,"Over $200,000",50.5,3,1,0,1,2,3,"chocolate w/ added stuff--brownie bits, nuts, syrup; pistachio; moose tracks",,"Our Wegman's hasn't opened yet, and I haven't been to the other ones in our area."
225490111,,"$50,000 - $75,000",40.5,2,3,0,1,2,3,,,
225490112,1,"$50,000 - $75,000",40.5,2,2,1,0,3,2,,"low price and tastes no different than regular ""full"" fat ice cream so healthier",
225490126,3,"$50,000 - $75,000",60.5,2,0,2,0,3,1,VANILLA,PRICE & TASTE,
225490130,,"$100,001 - $150,000",70.5,2,0,0,0,0,0,,,
225490135,3,"$75,001 -  $100,000",50.5,5,0,2,0,3,1,"chocolate chip, butter pecan and neopolitan ",,I don't have a Wegmans in my area
225490141,2,"$75,001 -  $100,000",50.5,2,2,1,3,0,2,,,I buy from the Penn State Creamery
225490189,3,Prefer not to say,40.5,2,0,1,0,2,3,,,
225490201,1,Prefer not to say,50.5,3,1,0,1,2,3,,,"Prefer premium brands and don't care about the fat, since we don't eat excessive amounts and exercise regularly.  Taste is most important for the money spent.  Still hoping that Purity Ice Cream will return to the Corning Bridge Street store!"
225490220,1,"$75,001 -  $100,000",70.5,2,0,3,0,2,1,,"lower calories, less costly",
225490221,,"$100,001 - $150,000",40.5,2,2,1,3,2,0,,,
225490249,3,Prefer not to say,40.5,2,0,3,2,1,0,"Cherry Vanilla, Vanilla, Peanut butter/chocolate chip.","I like Wows brand foods, so I thought I would give it a try.",
225490251,,"$50,000 - $75,000",40.5,2,0,0,0,0,0,,,
225490263,2,"Under $50,000",60.5,2,0,3,2,1,0,,the cost,
225490295,3,"$75,001 -  $100,000",30.5,5,3,0,1,3,2,"chocolate with peanut butter, neopolitan,mint chocolate chip",,We only eat ice cream on special occasions.  I have not seen their low fat.  I typically stick with Edy's or Perry's.
225490308,3,"$50,000 - $75,000",50.5,2,0,2,0,2,2,"chocolate, strawberry, tin roof, chocolate chip, mint",price and I wanted to compare,
225490323,,"Over $200,000",60.5,3,0,2,0,1,3,,,
225490324,3,"$75,001 -  $100,000",60.5,2,0,3,1,0,2,chocolate swirl or chocolate chip,,only because I usually purchase a specific flavor which may not be made by Wows.
225490330,3,Prefer not to say,60.5,2,0,0,1,2,3,"Vanilla fudge, rum raisin, caramel, butter pecan",,I like Edy's and Turkey Hill
225490338,3,"$50,000 - $75,000",80.5,2,0,3,1,1,1,"btter pecan ,mint chocolate chip,teaberry",low fat and good quality,
225490339,,Prefer not to say,40.5,4,2,0,3,2,1,,,
225490342,3,"Over $200,000",30.5,2,1,1,0,3,2,"orange, peanut butter, cookies and cream",,"never tried it and like breyers.  usually Wow's not on sale, so i stick with what i've tried."
225490384,2,Prefer not to say,40.5,1,2,2,0,2,2,,It was on sale,
225490392,1,"$100,001 - $150,000",70.5,2,0,3,0,2,1,,,No reason
225490405,2,"$100,001 - $150,000",30.5,2,0,1,0,2,3,,,Purchased the regular ice cream instead.
225490418,,Prefer not to say,70.5,2,0,0,2,1,3,,,
225490423,2,"$50,000 - $75,000",40.5,3,1,1,0,3,2,,,It doesn't appeal to me. 
225490424,1,Prefer not to say,40.5,2,2,3,0,1,2,,price,
225490439,,"$75,001 -  $100,000",60.5,2,0,0,3,1,2,,,
225490455,2,"$100,001 - $150,000",50.5,3,0,2,3,0,1,,spur of the moment decision/ liked flavor i bought,
225490494,1,Prefer not to say,50.5,2,0,3,0,1,2,,,I am Diabetic & buy Eddys tripple choc no sugar added ice cream & bars & sugar free popsicles.I wish Wows would come out with a no sugar added ice cream!I would buy it.
225490506,,"$100,001 - $150,000",70.5,2,0,0,3,1,2,,,
225490527,4,Prefer not to say,50.5,2,1,0,3,1,2,coconut/choc and peanut butter/choc,try it,
225490549,,"$100,001 - $150,000",60.5,2,0,2,1,0,3,,,
225490552,,"Under $50,000",40.5,2,2,0,1,3,2,,,
225490554,4,Prefer not to say,40.5,5,4,0,1,2,3,"chocolate, chocolate chip",,I know we like Edy's and Breyer's; we've never had Wow's light before.
225490575,2,"$50,000 - $75,000",70.5,1,0,0,2,1,3,,,DISTANCE FROM STORE TO HOME IN HOT WEATHER WOULD CAUSE MELTING
225490608,3,"$100,001 - $150,000",60.5,2,0,2,2,0,2,"french vanilla, coffee, raspberry swirl",I heard Perry's Makes Wegmans ice cream,
225490610,2,"$75,001 -  $100,000",40.5,4,0,3,0,2,1,,"I think it was on sale at the time, and the flavors were appealing.",
225490618,4,Prefer not to say,50.5,3,0,1,2,0,3,"Chocolate, definitely.  From there, be imaginative with combinations, like Ben & Jerrys.",To try something different.  Wow's brands had been satisfactory before.,
225490631,,"Under $50,000",20.5,2,0,0,1,2,3,,,
225490660,3,"$75,001 -  $100,000",40.5,2,1,0,2,1,3,Somethign with stuff in it... candy cookies,,Didn't know about it
225490669,2,"$75,001 -  $100,000",50.5,3,1,2,0,3,1,,lss expensive at the time,
225490701,,Prefer not to say,50.5,2,2,2,0,1,3,,,
225490753,,Prefer not to say,40.5,4,2,0,2,3,1,,,
225490790,,"$50,000 - $75,000",50.5,4,0,1,0,2,3,,,
225490794,3,"Over $200,000",30.5,1,2,2,2,0,2,as many as possible,,about to get our wegmans
225490809,,"$100,001 - $150,000",60.5,2,0,0,2,1,3,,,
225490826,3,Prefer not to say,60.5,2,0,0,1,3,2,"dark chocolate, cookies and cream",the flavor and price were right,
225490857,3,"$75,001 -  $100,000",60.5,3,0,3,0,1,2,"Vanilla,Neopolitan, Peanut Butter Cup, & Fudge Royale",Because of the low fat & the price,
225490866,3,"$50,000 - $75,000",40.5,2,2,2,0,3,1,"chocolate chip, mint chocolate chip, cookies and creme, vanilla",,We live too far from the Hunt Valley store (about 3 minutes away) so it would melt!!
225490873,3,"$75,001 -  $100,000",30.5,2,0,3,0,1,2,"Strawberry cheesecake, cookie dough, anything with caramel and/or marshmallow.  Doesn't sound ""light"", does it?",,"Not sure, really.  There's usually a special on the Turkey Hill items."
225490886,,"$100,001 - $150,000",60.5,2,0,0,1,2,3,,,
225490901,1,Prefer not to say,60.5,2,0,3,0,1,2,,,I live too far from the Wegman's store to transport ice cream home without it melting.
225490927,,"Under $50,000",50.5,1,1,0,2,1,3,,,
225490928,,"$75,001 -  $100,000",30.5,2,1,2,1,3,0,,,
225490932,4,Prefer not to say,50.5,4,1,0,2,1,3,as many flavors as possible,,Usually out of the flavor I want
225490935,,"$50,000 - $75,000",40.5,2,3,0,1,3,2,,,
225490946,,"Under $50,000",70.5,2,0,1,2,0,3,,,
225491000,,"$75,001 -  $100,000",60.5,2,0,0,2,1,3,,,
225491033,3,"$75,001 -  $100,000",50.5,2,0,1,0,2,3,"Anything in ""no sugar added""",,"Again, I'm looking at sugar content."
225491037,,"Over $200,000",40.5,2,2,0,3,1,2,,,
225491040,2,Prefer not to say,40.5,2,2,2,0,3,1,,,"never noticed it, i usually by edi when it is on sale"
225491042,3,"$75,001 -  $100,000",40.5,2,2,3,0,2,1,"chocolate chip cookie dough, vanilla, cookies and cream",value,
225491045,3,Prefer not to say,60.5,3,0,0,2,1,3,"Mint Choc Chip, Cherry Vanilla, Butter Pecan, Tin Roof Sundae",At first dietary reasons - but found I liked it as well as others - except Ben & Jerry's - SORRY - no one beats that!!,
225491058,4,"$75,001 -  $100,000",60.5,2,0,0,1,2,3,"chooclate, vanilla, coffee",,usually don't purchase low fat. would rather have fat but maybe less sugar to get fewer calories
225491069,3,"$75,001 -  $100,000",50.5,3,0,0,1,2,3,"French Vanilla, Regular Chocolate",,"My husband usually buys full fat, although he should be eating the low fat."
225491086,2,"Under $50,000",20.5,1,0,1,0,3,2,,because i love wegmans brand! and only buy wegmans brand when available :),
225491093,3,"$75,001 -  $100,000",60.5,2,0,3,1,0,2,"chocolate, not overly sweet tasting, vanilla",price and tastes good,
225491100,,"$50,000 - $75,000",30.5,1,0,1,2,3,0,,,
225491105,3,Prefer not to say,60.5,1,0,3,1,0,2,"vanilla, chocolate malt, raspberry, moose tracks, ",,a brand I know has been on sale
225491118,3,Prefer not to say,30.5,2,1,2,0,1,3,,,
225491146,4,"$150,001 - $200,000",60.5,2,1,3,2,0,1,"Vanila, choc.",Recommendation from neighbors,
225491150,3,"$75,001 -  $100,000",30.5,2,3,0,2,2,2,"Cookie Dough, Cocolate Chip",,I'm waiting for the store to open...once it does I'm sure I'll try it
225491154,,Prefer not to say,60.5,2,0,1,2,0,3,,,
225491157,,"Under $50,000",50.5,1,0,0,2,3,1,,,
225491194,3,"$75,001 -  $100,000",60.5,1,0,2,3,0,1,"Vanilla Bean, Vanilla with Orange Sherbet, Chocolate Ripple or Chocolate Fudge",,No Wows opened yet locally
225491195,3,"$50,000 - $75,000",40.5,2,2,3,0,2,1,"French vanilla, chocolate, fruit swirls.",Trying different brands to determine best.,
225491197,,Prefer not to say,60.5,2,0,2,1,3,0,,,
225491198,,Prefer not to say,60.5,2,0,1,3,0,2,,,
225491220,3,Prefer not to say,70.5,2,0,2,0,1,3,"Chocolate, vanilla, strawberry, peach, cherry/vanilla",,Don't know
225491247,2,"$100,001 - $150,000",40.5,2,0,3,0,2,1,,,"Not sure how it tastes.  For something like ice cream, I tend to pick items that I already know I like rather than try something new that might wind up being a waste since I don't buy ice cream that often."
225491250,3,Prefer not to say,50.5,2,0,3,2,0,1,"Cookie dough, fruit flavors",Available flavor,
225491252,4,"$50,000 - $75,000",50.5,3,0,1,0,3,2,"Double chocolate fudge, french vanilla, mint chocolate chip",Lower fat content and the flavor I wanted.,
225491253,4,"Under $50,000",50.5,4,0,0,1,3,2,"Vanilla, chocolate, fudge swirl",On sale and low fat,
225491284,3,Prefer not to say,50.5,2,0,1,3,2,0,"Vanilla, Chocolate, Strawberry, Peach, ",,A Wows doesn't open in the area until tomorrow.
225491305,,"$100,001 - $150,000",40.5,2,3,3,0,1,2,,,
225491310,,"$50,000 - $75,000",50.5,2,0,0,2,1,3,,,
225491354,,"$100,001 - $150,000",40.5,2,3,0,3,1,2,,,
225491366,3,"$75,001 -  $100,000",40.5,2,0,3,0,1,2,"coffee, espresso chocolate chip, mint chocolate chip",lower price ,
225491369,,"$150,001 - $200,000",40.5,2,2,0,3,1,2,,,
225491381,,"$75,001 -  $100,000",50.5,5,3,0,3,1,2,,,
225491400,,"$100,001 - $150,000",40.5,2,2,0,1,2,3,,,
225491415,,"$100,001 - $150,000",10.5,2,4,0,2,3,1,,,
225491444,3,Prefer not to say,40.5,2,2,0,1,2,3,,,
225491457,3,"$75,001 -  $100,000",60.5,2,0,3,0,2,1,I like most ice creams,,"I have not shopped at Wegman's in this area as yet.  I'm waiting for our new store to open.  I have only shopped at Wegman's while visiting my brother in Binghamton, NY"
225491470,3,"$75,001 -  $100,000",70.5,2,0,3,0,1,2,"cherry, peach, blueberry",lower fat content,
225491497,,"Under $50,000",70.5,2,0,1,1,1,3,,,
225491506,2,Prefer not to say,40.5,2,1,2,0,3,1,,,I have not had a need for that product lately
225491515,2,"$75,001 -  $100,000",60.5,1,0,0,2,1,3,,,I ONLY BUY BREYERS
225491518,,Prefer not to say,60.5,1,0,0,1,2,3,,,
225491538,,"$100,001 - $150,000",50.5,3,0,0,1,2,3,,,
225491564,4,"$75,001 -  $100,000",50.5,2,0,2,0,2,2,"Vanilla, Chocolate, Coffee, Chocolate Almond",On sale,
225491565,,"$100,001 - $150,000",40.5,2,1,0,1,2,3,,,
225491568,1,"$75,001 -  $100,000",50.5,2,0,2,0,3,1,,"taste ,price ,health reason",
225491577,,"$75,001 -  $100,000",20.5,2,0,1,0,2,3,,,
225491585,,"$100,001 - $150,000",50.5,2,0,0,1,2,3,,,
225491621,,"$100,001 - $150,000",30.5,4,0,0,0,0,0,,,
225491628,,"$100,001 - $150,000",50.5,3,2,0,2,1,3,,,
225491663,4,"$50,000 - $75,000",60.5,2,0,3,2,0,1,"Vanilla, Choc, Butter Pecan, Strawberry",,Traveling distance from my home.
225491670,2,"$50,000 - $75,000",40.5,2,2,2,1,0,3,,,i don't know...i will give it a try next time i am in store
225491690,3,"$50,000 - $75,000",40.5,2,1,1,2,0,3,"mint chocolate chip, creamsicle (orange/vanilla), pistachio",,flavor selection
